,mal_id,title_english,popularity,score,rating,genres,studios,themes,demographics,synopsis,neighbor,cluster,images_url
23,40028,Attack on Titan: The Final Season,41,8.81,R - 17+ (violence & profanity),"['Action', 'Drama']",MAPPA,"['Gore', 'Military', 'Survival']",Shounen,"['answer', 'conclusion', 'shingeki', 'having', 'yeager', 'survey', 'titans', 'corps', 'long', 'paradis']","[26, 5, 55, 84, 73]",33,https://cdn.myanimelist.net/images/anime/1000/110531.jpg
24,47917,Bocchi the Rock!,1530,8.79,PG-13 - Teens 13 or older,Comedy,CloverWorks,"['CGDCT', 'Music']",[],"['bandmate', 'musicians', 'devotes', 'shared', 'invites', 'band', 'soon', 'kita', 'meets', 'bocchi']","[599, 684, 492, 594, 535, 185, 340, 611, 637, 508, 675, 815, 168, 400, 840, 408, 556, 598, 745, 841, 410, 767, 620, 107, 162, 851, 659, 98, 699, 489]",12,https://cdn.myanimelist.net/images/anime/1448/127956.jpg
25,32935,Haikyu!! 3rd Season,112,8.79,PG-13 - Teens 13 or older,Sports,Production I.G,"['School', 'Team Sports']",Shounen,"['qualify', 'chance', 'mal', 'team', 'powerhouse', 'nationals', 'victory', 'high', 'tournament', 'karasuno']","[51, 68, 119, 95, 244, 146, 405, 723, 70, 166, 144, 183, 270, 396, 322, 148, 172, 127, 714, 54, 856]",29,https://cdn.myanimelist.net/images/anime/7/81992.jpg
26,48583,Attack on Titan: The Final Season Part 2,133,8.78,R - 17+ (violence & profanity),"['Action', 'Drama']",MAPPA,"['Gore', 'Military', 'Survival']",Shounen,"['mal', 'takes', 'end', 'remain', 'marley', 'intentions', 'braun', 'mikasa', 'eldia', 'eren']","[23, 5, 55, 84, 73]",33,https://cdn.myanimelist.net/images/anime/1948/120625.jpg
27,17074,Monogatari Series: Second Season,279,8.77,R - 17+ (violence & profanity),"['Comedy', 'Mystery', 'Romance', 'Supernatural']",Shaft,Vampire,[],"['walk', 'apparition', 'manifest', 'begun', 'quickly', 'vicious', 'group', 'friends', 'hanekawa', 'koyomi']","[750, 297, 94, 351, 832, 779, 487, 131, 222, 358, 16, 248, 641, 712, 342, 749, 444, 467, 763, 514, 786, 227, 278, 773, 781, 597, 438, 194, 180]",0,https://cdn.myanimelist.net/images/anime/1807/121534.jpg
28,50160,Kingdom: Season 4,2933,8.77,R - 17+ (violence & profanity),Action,"['Pierrot', 'Studio Signpost']","['Historical', 'Military']",Seinen,"['state', 'army', 'half', 'xin', 'coalition', 'lü', 'jiao', 'qin', 'battle', 'zheng']","[353, 126, 20, 208, 291, 777, 456, 650, 141, 123, 80, 175, 404, 90, 506, 791, 101, 78, 588, 359, 170, 775, 159, 445, 373, 601, 65, 768]",18,https://cdn.myanimelist.net/images/anime/1566/122794.jpg
29,1,Cowboy Bebop,43,8.75,R - 17+ (violence & profanity),"['Action', 'Sci-Fi']",Sunrise,"['Adult Cast', 'Space']",[],"['faye', 'series', 'leaving', 'red', 'jet', 'dragon', 'julia', 'syndicate', 'vicious', 'spike']","[35, 165, 14, 179, 286, 37, 245, 266, 830, 491, 494, 435, 734, 742, 420, 551, 473, 538, 780, 645, 593, 366, 379, 557, 446, 409, 510, 844, 243, 771, 395, 335, 562, 682]",23,https://cdn.myanimelist.net/images/anime/4/19644.jpg
30,263,Fighting Spirit,377,8.75,PG-13 - Teens 13 or older,Sports,Madhouse,Combat Sports,Shounen,"['professional', 'champion', 'world', 'boxer', 'gym', 'miyata', 'kamogawa', 'boxing', 'takamura', 'ippo']","[45, 57, 36, 149, 22, 48, 88]",2,https://cdn.myanimelist.net/images/anime/4/86334.jpg
31,24701,Mushi-shi: Next Passage Part 2,851,8.74,PG-13 - Teens 13 or older,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",Artland,"['Adult Cast', 'Historical', 'Iyashikei']",Seinen,"['afflictions', 'mushishi', 'comprehension', 'protecting', 'written', 'impossible', 'lives', 'village', 'ginko', 'mushi']","[39, 43, 543, 86, 212, 547, 762, 238, 653, 223, 372, 729, 609, 117, 483, 580, 689, 670, 193, 11, 108, 578, 452, 114, 770, 163, 606, 76, 724, 349, 453, 859, 552, 422]",10,https://cdn.myanimelist.net/images/anime/9/68095.jpg
32,33095,Descending Stories: Showa Genroku Rakugo Shinju,1179,8.74,PG-13 - Teens 13 or older,Drama,Studio Deen,"['Adult Cast', 'Historical', 'Love Polygon', 'Performing Arts']",Josei,"['focuses', 'prison', 'rakugo', 'struggle', 'rise', 'following', 'backstories', 'gain', 'performer', 'yakumo']","[61, 129, 524, 843, 423, 466, 549, 711, 821, 760, 634, 495, 612, 345, 130, 652, 386, 739, 644, 451, 289, 397, 707, 709, 833, 679]",22,https://cdn.myanimelist.net/images/anime/1493/124765.jpg
